order_id,date,daypart,drink_type,barista,wait_minutes
POS-0908-01,2026-09-08,early,americano,Riley,3.8
POS-0908-02,2026-09-08,early,americano,Riley,5.2
POS-0908-03,2026-09-08,early,mocha,Riley,5.1
POS-0908-04,2026-09-08,early,mocha,Marcus,4.4
POS-0908-05,2026-09-08,early,cappuccino,Marcus,4.8
POS-0908-06,2026-09-08,early,latte,Marcus,4.4
POS-0908-07,2026-09-08,late,americano,Marcus,6.0
POS-0908-08,2026-09-08,late,americano,Marcus,4.4
POS-0908-09,2026-09-08,late,latte,Riley,4.8
POS-0908-10,2026-09-08,late,latte,Marcus,6.1
POS-0908-11,2026-09-08,late,latte,Riley,4.9
POS-0908-12,2026-09-08,late,cappuccino,Riley,5.5
POS-0909-01,2026-09-09,early,americano,Riley,5.2
POS-0909-02,2026-09-09,early,latte,Marcus,4.6
POS-0909-03,2026-09-09,early,latte,Marcus,4.6
POS-0909-04,2026-09-09,early,latte,Riley,5.8
POS-0909-05,2026-09-09,early,latte,Marcus,5.2
POS-0909-06,2026-09-09,early,latte,Marcus,4.2
POS-0909-07,2026-09-09,late,americano,Marcus,5.1
POS-0909-08,2026-09-09,late,americano,Riley,5.0
POS-0909-09,2026-09-09,late,latte,Riley,4.7
POS-0909-10,2026-09-09,late,latte,Marcus,5.8
POS-0909-11,2026-09-09,late,latte,Riley,5.6
POS-0909-12,2026-09-09,late,mocha,Riley,6.5
POS-0910-01,2026-09-10,early,cappuccino,Riley,5.4
POS-0910-02,2026-09-10,early,latte,Riley,5.2
POS-0910-03,2026-09-10,early,latte,Riley,3.6
POS-0910-04,2026-09-10,early,latte,Marcus,3.6
POS-0910-05,2026-09-10,early,latte,Riley,3.9
POS-0910-06,2026-09-10,early,cappuccino,Marcus,4.6
POS-0910-07,2026-09-10,late,latte,Marcus,5.3
POS-0910-08,2026-09-10,late,americano,Riley,4.9
POS-0910-09,2026-09-10,late,mocha,Marcus,5.3
POS-0910-10,2026-09-10,late,cappuccino,Marcus,4.0
POS-0910-11,2026-09-10,late,cappuccino,Marcus,4.3
POS-0910-12,2026-09-10,late,latte,Riley,5.8
POS-0911-01,2026-09-11,early,americano,Marcus,4.3
POS-0911-02,2026-09-11,early,cappuccino,Riley,3.4
POS-0911-03,2026-09-11,early,latte,Marcus,5.5
POS-0911-04,2026-09-11,early,latte,Marcus,5.7
POS-0911-05,2026-09-11,early,mocha,Riley,5.8
POS-0911-06,2026-09-11,early,cappuccino,Riley,4.8
POS-0911-07,2026-09-11,late,cappuccino,Marcus,4.8
POS-0911-08,2026-09-11,late,latte,Riley,5.3
POS-0911-09,2026-09-11,late,mocha,Riley,4.7
POS-0911-10,2026-09-11,late,latte,Marcus,5.0
POS-0911-11,2026-09-11,late,americano,Riley,4.2
POS-0911-12,2026-09-11,late,americano,Riley,5.7
POS-0914-01,2026-09-14,early,latte,Riley,3.9
POS-0914-02,2026-09-14,early,latte,Marcus,4.8
POS-0914-03,2026-09-14,early,latte,Riley,3.8
POS-0914-04,2026-09-14,early,cappuccino,Marcus,5.5
POS-0914-05,2026-09-14,early,latte,Riley,4.8
POS-0914-06,2026-09-14,early,cappuccino,Riley,4.2
POS-0914-07,2026-09-14,late,latte,Riley,4.1
POS-0914-08,2026-09-14,late,americano,Riley,4.1
POS-0914-09,2026-09-14,late,mocha,Riley,6.2
POS-0914-10,2026-09-14,late,mocha,Riley,4.5
POS-0914-11,2026-09-14,late,latte,Riley,4.9
POS-0914-12,2026-09-14,late,mocha,Marcus,4.7
POS-0915-01,2026-09-15,early,americano,Marcus,4.5
POS-0915-02,2026-09-15,early,americano,Marcus,3.6
POS-0915-03,2026-09-15,early,cappuccino,Riley,4.1
POS-0915-04,2026-09-15,early,latte,Marcus,3.8
POS-0915-05,2026-09-15,early,cappuccino,Riley,5.0
POS-0915-06,2026-09-15,early,cappuccino,Marcus,5.6
POS-0915-07,2026-09-15,late,cappuccino,Marcus,5.2
POS-0915-08,2026-09-15,late,latte,Marcus,5.0
POS-0915-09,2026-09-15,late,latte,Marcus,4.2
POS-0915-10,2026-09-15,late,cappuccino,Marcus,5.0
POS-0915-11,2026-09-15,late,latte,Riley,5.6
POS-0915-12,2026-09-15,late,latte,Marcus,4.8
POS-0916-01,2026-09-16,early,latte,Marcus,5.6
POS-0916-02,2026-09-16,early,cappuccino,Marcus,4.4
POS-0916-03,2026-09-16,early,cappuccino,Riley,4.9
POS-0916-04,2026-09-16,early,americano,Marcus,5.0
POS-0916-05,2026-09-16,early,latte,Marcus,4.0
POS-0916-06,2026-09-16,early,cappuccino,Marcus,6.5
POS-0916-07,2026-09-16,late,cappuccino,Marcus,4.7
POS-0916-08,2026-09-16,late,mocha,Marcus,5.9
POS-0916-09,2026-09-16,late,cappuccino,Marcus,5.7
POS-0916-10,2026-09-16,late,cappuccino,Riley,4.8
POS-0916-11,2026-09-16,late,latte,Marcus,5.5
POS-0916-12,2026-09-16,late,mocha,Marcus,6.6
POS-0917-01,2026-09-17,early,cappuccino,Marcus,5.5
POS-0917-02,2026-09-17,early,cappuccino,Marcus,4.7
POS-0917-03,2026-09-17,early,mocha,Marcus,4.7
POS-0917-04,2026-09-17,early,latte,Riley,5.5
POS-0917-05,2026-09-17,early,cappuccino,Marcus,5.0
POS-0917-06,2026-09-17,early,latte,Marcus,3.5
POS-0917-07,2026-09-17,late,latte,Riley,5.1
POS-0917-08,2026-09-17,late,latte,Marcus,4.5
POS-0917-09,2026-09-17,late,mocha,Marcus,4.6
POS-0917-10,2026-09-17,late,cappuccino,Riley,4.7
POS-0917-11,2026-09-17,late,americano,Marcus,4.7
POS-0917-12,2026-09-17,late,cappuccino,Marcus,4.5
POS-0918-01,2026-09-18,early,cappuccino,Marcus,5.5
POS-0918-02,2026-09-18,early,americano,Marcus,4.9
POS-0918-03,2026-09-18,early,cappuccino,Riley,5.0
POS-0918-04,2026-09-18,early,mocha,Marcus,6.0
POS-0918-05,2026-09-18,early,cappuccino,Marcus,4.9
POS-0918-06,2026-09-18,early,americano,Riley,4.8
POS-0918-07,2026-09-18,late,latte,Marcus,5.2
POS-0918-08,2026-09-18,late,latte,Riley,4.7
POS-0918-09,2026-09-18,late,latte,Riley,4.8
POS-0918-10,2026-09-18,late,latte,Riley,4.4
POS-0918-11,2026-09-18,late,mocha,Marcus,4.4
POS-0918-12,2026-09-18,late,cappuccino,Marcus,5.1
POS-0921-01,2026-09-21,early,americano,Marcus,5.2
POS-0921-02,2026-09-21,early,latte,Riley,5.2
POS-0921-03,2026-09-21,early,latte,Riley,4.0
POS-0921-04,2026-09-21,early,mocha,Riley,5.1
POS-0921-05,2026-09-21,early,americano,Marcus,4.4
POS-0921-06,2026-09-21,early,cappuccino,Riley,4.9
POS-0921-07,2026-09-21,late,latte,Riley,4.8
POS-0921-08,2026-09-21,late,latte,Riley,4.8
POS-0921-09,2026-09-21,late,cappuccino,Marcus,5.3
POS-0921-10,2026-09-21,late,latte,Marcus,5.2
POS-0921-11,2026-09-21,late,cappuccino,Riley,5.3
POS-0921-12,2026-09-21,late,mocha,Marcus,4.7
