order_id,date,daypart,drink_type,barista,wait_minutes
POS-0720-01,2026-07-20,early,americano,Riley,6.7
POS-0720-02,2026-07-20,early,americano,Riley,9.0
POS-0720-03,2026-07-20,early,mocha,Riley,8.7
POS-0720-04,2026-07-20,early,mocha,Marcus,7.5
POS-0720-05,2026-07-20,early,cappuccino,Marcus,8.2
POS-0720-06,2026-07-20,early,latte,Marcus,7.6
POS-0720-07,2026-07-20,late,americano,Marcus,10.2
POS-0720-08,2026-07-20,late,americano,Marcus,7.6
POS-0720-09,2026-07-20,late,latte,Riley,8.3
POS-0720-10,2026-07-20,late,latte,Marcus,10.4
POS-0720-11,2026-07-20,late,latte,Riley,8.4
POS-0720-12,2026-07-20,late,cappuccino,Riley,9.3
POS-0721-01,2026-07-21,early,americano,Riley,9.0
POS-0721-02,2026-07-21,early,latte,Marcus,7.9
POS-0721-03,2026-07-21,early,latte,Marcus,8.0
POS-0721-04,2026-07-21,early,latte,Riley,9.9
POS-0721-05,2026-07-21,early,latte,Marcus,8.9
POS-0721-06,2026-07-21,early,latte,Marcus,7.4
POS-0721-07,2026-07-21,late,americano,Marcus,8.7
POS-0721-08,2026-07-21,late,americano,Riley,8.7
POS-0721-09,2026-07-21,late,latte,Riley,8.2
POS-0721-10,2026-07-21,late,latte,Marcus,9.8
POS-0721-11,2026-07-21,late,latte,Riley,9.6
POS-0721-12,2026-07-21,late,mocha,Riley,10.9
POS-0722-01,2026-07-22,early,cappuccino,Riley,9.1
POS-0722-02,2026-07-22,early,latte,Riley,8.9
POS-0722-03,2026-07-22,early,latte,Riley,6.4
POS-0722-04,2026-07-22,early,latte,Marcus,6.3
POS-0722-05,2026-07-22,early,latte,Riley,6.9
POS-0722-06,2026-07-22,early,cappuccino,Marcus,7.9
POS-0722-07,2026-07-22,late,latte,Marcus,9.0
POS-0722-08,2026-07-22,late,americano,Riley,8.5
POS-0722-09,2026-07-22,late,mocha,Marcus,9.0
POS-0722-10,2026-07-22,late,cappuccino,Marcus,7.0
POS-0722-11,2026-07-22,late,cappuccino,Marcus,7.5
POS-0722-12,2026-07-22,late,latte,Riley,9.8
POS-0723-01,2026-07-23,early,americano,Marcus,7.5
POS-0723-02,2026-07-23,early,cappuccino,Riley,6.0
POS-0723-03,2026-07-23,early,latte,Marcus,9.3
POS-0723-04,2026-07-23,early,latte,Marcus,9.7
POS-0723-05,2026-07-23,early,mocha,Riley,9.7
POS-0723-06,2026-07-23,early,cappuccino,Riley,8.3
POS-0723-07,2026-07-23,late,cappuccino,Marcus,8.1
POS-0723-08,2026-07-23,late,latte,Riley,9.1
POS-0723-09,2026-07-23,late,mocha,Riley,8.1
POS-0723-10,2026-07-23,late,latte,Marcus,8.6
POS-0723-11,2026-07-23,late,americano,Riley,7.3
POS-0723-12,2026-07-23,late,americano,Riley,9.8
POS-0724-01,2026-07-24,early,latte,Riley,6.8
POS-0724-02,2026-07-24,early,latte,Marcus,8.2
POS-0724-03,2026-07-24,early,latte,Riley,6.7
POS-0724-04,2026-07-24,early,cappuccino,Marcus,9.3
POS-0724-05,2026-07-24,early,latte,Riley,8.4
POS-0724-06,2026-07-24,early,cappuccino,Riley,7.2
POS-0724-07,2026-07-24,late,latte,Riley,7.2
POS-0724-08,2026-07-24,late,americano,Riley,7.2
POS-0724-09,2026-07-24,late,mocha,Riley,10.5
POS-0724-10,2026-07-24,late,mocha,Riley,7.7
POS-0724-11,2026-07-24,late,latte,Riley,8.5
POS-0724-12,2026-07-24,late,mocha,Marcus,8.1
POS-0727-01,2026-07-27,early,americano,Marcus,7.8
POS-0727-02,2026-07-27,early,americano,Marcus,6.3
POS-0727-03,2026-07-27,early,cappuccino,Riley,7.2
POS-0727-04,2026-07-27,early,latte,Marcus,6.7
POS-0727-05,2026-07-27,early,cappuccino,Riley,8.5
POS-0727-06,2026-07-27,early,cappuccino,Marcus,9.5
POS-0727-07,2026-07-27,late,cappuccino,Marcus,8.9
POS-0727-08,2026-07-27,late,latte,Marcus,8.5
POS-0727-09,2026-07-27,late,latte,Marcus,7.4
POS-0727-10,2026-07-27,late,cappuccino,Marcus,8.6
POS-0727-11,2026-07-27,late,latte,Riley,9.6
POS-0727-12,2026-07-27,late,latte,Marcus,8.3
POS-0728-01,2026-07-28,early,latte,Marcus,9.5
POS-0728-02,2026-07-28,early,cappuccino,Marcus,7.5
POS-0728-03,2026-07-28,early,cappuccino,Riley,8.3
POS-0728-04,2026-07-28,early,americano,Marcus,8.5
POS-0728-05,2026-07-28,early,latte,Marcus,7.0
POS-0728-06,2026-07-28,early,cappuccino,Marcus,10.9
POS-0728-07,2026-07-28,late,cappuccino,Marcus,8.0
POS-0728-08,2026-07-28,late,mocha,Marcus,9.9
POS-0728-09,2026-07-28,late,cappuccino,Marcus,9.6
POS-0728-10,2026-07-28,late,cappuccino,Riley,8.2
POS-0728-11,2026-07-28,late,latte,Marcus,9.4
POS-0728-12,2026-07-28,late,mocha,Marcus,11.1
POS-0729-01,2026-07-29,early,cappuccino,Marcus,9.3
POS-0729-02,2026-07-29,early,cappuccino,Marcus,8.0
POS-0729-03,2026-07-29,early,mocha,Marcus,8.0
POS-0729-04,2026-07-29,early,latte,Riley,9.4
POS-0729-05,2026-07-29,early,cappuccino,Marcus,8.5
POS-0729-06,2026-07-29,early,latte,Marcus,6.2
POS-0729-07,2026-07-29,late,latte,Riley,8.9
POS-0729-08,2026-07-29,late,latte,Marcus,7.7
POS-0729-09,2026-07-29,late,mocha,Marcus,7.8
POS-0729-10,2026-07-29,late,cappuccino,Riley,8.0
POS-0729-11,2026-07-29,late,americano,Marcus,8.2
POS-0729-12,2026-07-29,late,cappuccino,Marcus,7.7
POS-0730-01,2026-07-30,early,cappuccino,Marcus,9.3
POS-0730-02,2026-07-30,early,americano,Marcus,8.5
POS-0730-03,2026-07-30,early,cappuccino,Riley,8.6
POS-0730-04,2026-07-30,early,mocha,Marcus,10.1
POS-0730-05,2026-07-30,early,cappuccino,Marcus,8.3
POS-0730-06,2026-07-30,early,americano,Riley,8.2
POS-0730-07,2026-07-30,late,latte,Marcus,8.9
POS-0730-08,2026-07-30,late,latte,Riley,8.2
POS-0730-09,2026-07-30,late,latte,Riley,8.4
POS-0730-10,2026-07-30,late,latte,Riley,7.7
POS-0730-11,2026-07-30,late,mocha,Marcus,7.5
POS-0730-12,2026-07-30,late,cappuccino,Marcus,8.7
POS-0731-01,2026-07-31,early,americano,Marcus,9.0
POS-0731-02,2026-07-31,early,latte,Riley,8.8
POS-0731-03,2026-07-31,early,latte,Riley,7.0
POS-0731-04,2026-07-31,early,mocha,Riley,8.6
POS-0731-05,2026-07-31,early,americano,Marcus,7.6
POS-0731-06,2026-07-31,early,cappuccino,Riley,8.4
POS-0731-07,2026-07-31,late,latte,Riley,8.3
POS-0731-08,2026-07-31,late,latte,Riley,8.4
