order_id,date,shift,order_type,trim_misalign,wrong_paper,ink_smudge,wrong_quantity,reject_any
PO-0629-001,2026-06-29,evening,flyer-poster,0,0,0,0,0
PO-0629-002,2026-06-29,evening,course-packet,0,0,0,0,0
PO-0629-003,2026-06-29,evening,other,0,0,0,0,0
PO-0629-004,2026-06-29,evening,course-packet,0,1,0,0,1
PO-0629-005,2026-06-29,day,course-packet,0,1,0,0,1
PO-0629-006,2026-06-29,evening,other,0,0,0,0,0
PO-0629-007,2026-06-29,evening,flyer-poster,0,0,0,0,0
PO-0629-008,2026-06-29,day,flyer-poster,0,0,0,0,0
PO-0629-009,2026-06-29,evening,other,0,0,0,0,0
PO-0629-010,2026-06-29,evening,program-booklet,0,0,0,0,0
PO-0629-011,2026-06-29,day,course-packet,0,0,0,0,0
PO-0629-012,2026-06-29,day,other,0,0,0,0,0
PO-0629-013,2026-06-29,evening,course-packet,0,0,0,0,0
PO-0629-014,2026-06-29,evening,program-booklet,1,0,0,0,1
PO-0629-015,2026-06-29,day,program-booklet,0,0,0,0,0
PO-0629-016,2026-06-29,evening,course-packet,0,0,0,0,0
PO-0629-017,2026-06-29,evening,flyer-poster,0,0,0,0,0
PO-0629-018,2026-06-29,day,other,0,0,0,0,0
PO-0629-019,2026-06-29,day,flyer-poster,0,0,0,0,0
PO-0629-020,2026-06-29,evening,other,0,0,0,0,0
PO-0629-021,2026-06-29,day,course-packet,0,0,0,0,0
PO-0629-022,2026-06-29,day,course-packet,0,0,0,0,0
PO-0629-023,2026-06-29,day,program-booklet,0,0,0,0,0
PO-0629-024,2026-06-29,evening,course-packet,0,0,0,0,0
PO-0629-025,2026-06-29,day,course-packet,0,0,0,0,0
PO-0629-026,2026-06-29,evening,course-packet,0,1,0,0,1
PO-0629-027,2026-06-29,evening,course-packet,0,0,0,0,0
PO-0629-028,2026-06-29,day,flyer-poster,0,0,0,0,0
PO-0629-029,2026-06-29,day,program-booklet,0,0,0,0,0
PO-0629-030,2026-06-29,day,course-packet,0,0,0,0,0
PO-0629-031,2026-06-29,day,program-booklet,0,0,0,1,1
PO-0629-032,2026-06-29,evening,program-booklet,0,0,0,0,0
PO-0629-033,2026-06-29,evening,course-packet,0,0,0,0,0
PO-0629-034,2026-06-29,evening,course-packet,0,0,0,0,0
PO-0629-035,2026-06-29,day,other,1,0,0,0,1
PO-0629-036,2026-06-29,evening,course-packet,0,0,0,0,0
PO-0629-037,2026-06-29,day,flyer-poster,1,0,0,0,1
PO-0629-038,2026-06-29,evening,flyer-poster,1,0,0,0,1
PO-0629-039,2026-06-29,day,flyer-poster,0,0,0,0,0
PO-0629-040,2026-06-29,day,course-packet,0,0,0,0,0
PO-0629-041,2026-06-29,day,other,0,0,0,0,0
