shift,wait_seconds,delay_cause,party_size
morning,95,register,2
afternoon,91,register,1
morning,98,grinder,3
afternoon,93,register,2
morning,97,register,4
afternoon,92,register,1
morning,99,grinder,3
afternoon,94,register,2
morning,96,register,2
afternoon,90,restock,1
morning,98,register,3
afternoon,93,register,2
morning,95,grinder,4
afternoon,91,register,1
morning,99,register,3
afternoon,94,register,2
morning,97,training,2
afternoon,92,register,1
morning,96,register,3
afternoon,90,restock,2
morning,98,register,4
afternoon,93,grinder,1
morning,95,register,2
afternoon,91,training,3
