ticket_id,date,request_type,channel,tech,resolution_hours
HD-0914-01,2026-09-14,software_install,portal,M.D.,6.7
HD-0914-02,2026-09-14,software_install,email,B.O.,5.5
HD-0914-03,2026-09-14,password_reset,portal,L.F.,3.0
HD-0914-04,2026-09-14,software_install,email,B.O.,7.8
HD-0914-05,2026-09-14,software_install,portal,B.O.,8.4
HD-0914-06,2026-09-14,access_grant,portal,B.O.,6.8
HD-0915-01,2026-09-15,access_grant,portal,M.D.,10.7
HD-0915-02,2026-09-15,access_grant,portal,L.F.,10.2
HD-0915-03,2026-09-15,software_install,email,L.F.,7.3
HD-0915-04,2026-09-15,access_grant,portal,B.O.,7.8
HD-0915-05,2026-09-15,software_install,portal,M.D.,8.2
HD-0915-06,2026-09-15,software_install,email,L.F.,8.5
HD-0915-07,2026-09-15,password_reset,email,B.O.,6.8
HD-0915-08,2026-09-15,access_grant,email,M.D.,8.9
HD-0916-01,2026-09-16,software_install,email,M.D.,7.6
HD-0916-02,2026-09-16,software_install,portal,B.O.,6.5
HD-0916-03,2026-09-16,software_install,email,M.D.,8.1
HD-0916-04,2026-09-16,access_grant,portal,L.F.,7.9
HD-0916-05,2026-09-16,access_grant,portal,B.O.,7.5
HD-0917-01,2026-09-17,password_reset,portal,B.O.,5.9
HD-0917-02,2026-09-17,software_install,portal,B.O.,7.4
HD-0917-03,2026-09-17,software_install,portal,M.D.,3.1
HD-0917-04,2026-09-17,access_grant,email,B.O.,9.6
HD-0917-05,2026-09-17,software_install,portal,B.O.,4.6
HD-0918-01,2026-09-18,software_install,email,L.F.,9.8
HD-0918-02,2026-09-18,password_reset,portal,L.F.,7.6
HD-0918-03,2026-09-18,password_reset,portal,L.F.,6.1
HD-0918-04,2026-09-18,password_reset,portal,M.D.,4.7
HD-0918-05,2026-09-18,password_reset,portal,L.F.,6.1
HD-0921-01,2026-09-21,software_install,email,M.D.,5.2
HD-0921-02,2026-09-21,password_reset,portal,M.D.,3.7
HD-0921-03,2026-09-21,software_install,portal,B.O.,7.7
HD-0921-04,2026-09-21,software_install,email,B.O.,3.9
HD-0921-05,2026-09-21,software_install,email,M.D.,5.7
HD-0921-06,2026-09-21,access_grant,email,B.O.,10.3
HD-0921-07,2026-09-21,software_install,portal,B.O.,5.9
HD-0922-01,2026-09-22,access_grant,portal,B.O.,5.9
HD-0922-02,2026-09-22,software_install,portal,M.D.,7.4
HD-0922-03,2026-09-22,access_grant,portal,L.F.,7.4
HD-0922-04,2026-09-22,software_install,portal,B.O.,4.2
HD-0922-05,2026-09-22,software_install,portal,M.D.,6.5
HD-0923-01,2026-09-23,access_grant,portal,B.O.,10.4
HD-0923-02,2026-09-23,software_install,portal,B.O.,7.1
HD-0923-03,2026-09-23,access_grant,email,L.F.,10.6
HD-0923-04,2026-09-23,password_reset,portal,M.D.,5.3
HD-0923-05,2026-09-23,access_grant,portal,M.D.,6.8
HD-0923-06,2026-09-23,software_install,portal,L.F.,9.4
HD-0924-01,2026-09-24,password_reset,portal,B.O.,2.7
HD-0924-02,2026-09-24,software_install,portal,L.F.,4.7
HD-0924-03,2026-09-24,software_install,portal,L.F.,9.2
HD-0924-04,2026-09-24,software_install,portal,L.F.,8.3
HD-0924-05,2026-09-24,password_reset,portal,B.O.,5.2
HD-0924-06,2026-09-24,password_reset,portal,L.F.,9.2
HD-0924-07,2026-09-24,password_reset,portal,B.O.,5.0
HD-0925-01,2026-09-25,access_grant,email,B.O.,8.3
HD-0925-02,2026-09-25,password_reset,email,L.F.,7.5
HD-0925-03,2026-09-25,software_install,email,L.F.,9.2
HD-0925-04,2026-09-25,software_install,portal,L.F.,6.1
HD-0925-05,2026-09-25,access_grant,portal,B.O.,7.4
HD-0925-06,2026-09-25,software_install,portal,B.O.,7.4
HD-0925-07,2026-09-25,software_install,email,M.D.,4.7
HD-0925-08,2026-09-25,password_reset,email,B.O.,9.4
HD-0928-01,2026-09-28,password_reset,email,B.O.,5.5
HD-0928-02,2026-09-28,software_install,email,L.F.,10.9
HD-0928-03,2026-09-28,access_grant,portal,M.D.,7.4
HD-0928-04,2026-09-28,software_install,portal,B.O.,4.9
HD-0928-05,2026-09-28,access_grant,email,M.D.,9.7
HD-0928-06,2026-09-28,software_install,email,B.O.,3.2
HD-0928-07,2026-09-28,password_reset,portal,B.O.,7.9
HD-0929-01,2026-09-29,access_grant,email,M.D.,9.1
HD-0929-02,2026-09-29,software_install,portal,B.O.,7.9
HD-0929-03,2026-09-29,software_install,portal,M.D.,4.2
HD-0929-04,2026-09-29,password_reset,email,M.D.,6.8
HD-0929-05,2026-09-29,software_install,portal,M.D.,4.3
HD-0929-06,2026-09-29,password_reset,email,L.F.,8.3
HD-0929-07,2026-09-29,software_install,portal,B.O.,5.5
HD-0930-01,2026-09-30,password_reset,portal,M.D.,5.8
HD-0930-02,2026-09-30,access_grant,portal,M.D.,9.0
HD-0930-03,2026-09-30,software_install,email,B.O.,7.1
HD-0930-04,2026-09-30,password_reset,portal,L.F.,8.4
HD-0930-05,2026-09-30,access_grant,email,L.F.,9.3
HD-0930-06,2026-09-30,access_grant,portal,B.O.,9.4
HD-0930-07,2026-09-30,software_install,portal,L.F.,7.3
HD-1001-01,2026-10-01,access_grant,email,B.O.,8.6
HD-1001-02,2026-10-01,access_grant,email,L.F.,9.0
HD-1001-03,2026-10-01,access_grant,portal,B.O.,10.5
HD-1001-04,2026-10-01,software_install,portal,B.O.,7.0
