ticket_id,date,request_type,channel,tech,resolution_hours
HD-0706-01,2026-07-06,access_grant,portal,M.D.,32.1
HD-0706-02,2026-07-06,password_reset,portal,M.D.,10.6
HD-0706-03,2026-07-06,access_grant,portal,B.O.,28.0
HD-0706-04,2026-07-06,access_grant,portal,B.O.,28.6
HD-0706-05,2026-07-06,access_grant,email,B.O.,22.1
HD-0706-06,2026-07-06,password_reset,portal,M.D.,25.6
HD-0707-01,2026-07-07,password_reset,portal,B.O.,24.8
HD-0707-02,2026-07-07,access_grant,portal,M.D.,34.2
HD-0707-03,2026-07-07,access_grant,portal,L.F.,31.0
HD-0707-04,2026-07-07,password_reset,portal,B.O.,15.5
HD-0707-05,2026-07-07,software_install,email,L.F.,32.6
HD-0708-01,2026-07-08,software_install,email,B.O.,34.0
HD-0708-02,2026-07-08,password_reset,portal,L.F.,25.9
HD-0708-03,2026-07-08,password_reset,portal,B.O.,30.3
HD-0708-04,2026-07-08,access_grant,portal,M.D.,27.9
HD-0708-05,2026-07-08,access_grant,portal,L.F.,26.4
HD-0708-06,2026-07-08,software_install,email,B.O.,26.6
HD-0708-07,2026-07-08,access_grant,portal,L.F.,33.5
HD-0709-01,2026-07-09,password_reset,portal,B.O.,28.1
HD-0709-02,2026-07-09,access_grant,email,B.O.,28.8
HD-0709-03,2026-07-09,access_grant,email,L.F.,35.3
HD-0709-04,2026-07-09,password_reset,portal,B.O.,23.6
HD-0709-05,2026-07-09,access_grant,email,B.O.,32.2
HD-0710-01,2026-07-10,access_grant,portal,M.D.,42.5
HD-0710-02,2026-07-10,password_reset,portal,M.D.,24.9
HD-0710-03,2026-07-10,access_grant,email,M.D.,29.6
HD-0710-04,2026-07-10,software_install,email,M.D.,28.0
HD-0710-05,2026-07-10,password_reset,portal,L.F.,22.1
HD-0710-06,2026-07-10,access_grant,portal,L.F.,28.6
HD-0713-01,2026-07-13,software_install,email,M.D.,28.9
HD-0713-02,2026-07-13,access_grant,portal,L.F.,36.3
HD-0713-03,2026-07-13,password_reset,portal,M.D.,22.7
HD-0713-04,2026-07-13,access_grant,portal,B.O.,28.2
HD-0713-05,2026-07-13,password_reset,email,L.F.,19.0
HD-0713-06,2026-07-13,software_install,portal,L.F.,24.7
HD-0713-07,2026-07-13,password_reset,email,M.D.,22.1
HD-0713-08,2026-07-13,software_install,portal,L.F.,21.9
HD-0714-01,2026-07-14,password_reset,portal,B.O.,19.3
HD-0714-02,2026-07-14,access_grant,portal,M.D.,32.3
HD-0714-03,2026-07-14,access_grant,portal,B.O.,24.0
HD-0714-04,2026-07-14,software_install,portal,L.F.,21.8
HD-0714-05,2026-07-14,access_grant,portal,B.O.,33.3
HD-0714-06,2026-07-14,access_grant,email,B.O.,29.7
HD-0715-01,2026-07-15,software_install,portal,M.D.,25.3
HD-0715-02,2026-07-15,access_grant,portal,L.F.,42.9
HD-0715-03,2026-07-15,software_install,portal,L.F.,30.9
HD-0715-04,2026-07-15,software_install,portal,M.D.,19.0
HD-0715-05,2026-07-15,access_grant,email,L.F.,32.1
HD-0715-06,2026-07-15,access_grant,portal,B.O.,24.9
HD-0715-07,2026-07-15,access_grant,email,L.F.,37.7
HD-0716-01,2026-07-16,password_reset,portal,B.O.,16.7
HD-0716-02,2026-07-16,password_reset,portal,M.D.,20.4
HD-0716-03,2026-07-16,software_install,email,M.D.,34.0
HD-0716-04,2026-07-16,software_install,portal,L.F.,20.5
HD-0716-05,2026-07-16,software_install,portal,L.F.,28.1
HD-0716-06,2026-07-16,access_grant,portal,M.D.,27.8
HD-0716-07,2026-07-16,access_grant,portal,B.O.,23.4
HD-0717-01,2026-07-17,password_reset,portal,L.F.,23.5
HD-0717-02,2026-07-17,access_grant,portal,L.F.,24.5
HD-0717-03,2026-07-17,access_grant,portal,M.D.,33.4
HD-0717-04,2026-07-17,access_grant,portal,B.O.,30.2
HD-0717-05,2026-07-17,software_install,portal,L.F.,15.1
HD-0720-01,2026-07-20,password_reset,portal,B.O.,17.5
HD-0720-02,2026-07-20,access_grant,portal,B.O.,25.5
HD-0720-03,2026-07-20,password_reset,email,B.O.,25.1
HD-0720-04,2026-07-20,software_install,portal,L.F.,22.3
HD-0720-05,2026-07-20,password_reset,portal,B.O.,16.4
HD-0720-06,2026-07-20,software_install,portal,L.F.,22.3
HD-0721-01,2026-07-21,access_grant,email,L.F.,38.5
HD-0721-02,2026-07-21,access_grant,email,M.D.,21.3
HD-0721-03,2026-07-21,access_grant,email,B.O.,35.9
HD-0721-04,2026-07-21,access_grant,portal,B.O.,34.0
HD-0721-05,2026-07-21,password_reset,portal,B.O.,23.3
HD-0721-06,2026-07-21,password_reset,portal,M.D.,21.3
HD-0721-07,2026-07-21,password_reset,portal,B.O.,21.9
HD-0722-01,2026-07-22,password_reset,portal,B.O.,22.0
HD-0722-02,2026-07-22,password_reset,portal,B.O.,24.5
HD-0722-03,2026-07-22,software_install,portal,B.O.,34.7
HD-0722-04,2026-07-22,access_grant,email,L.F.,33.1
HD-0722-05,2026-07-22,software_install,portal,B.O.,19.0
HD-0722-06,2026-07-22,access_grant,portal,L.F.,31.9
HD-0722-07,2026-07-22,access_grant,email,L.F.,35.1
HD-0723-01,2026-07-23,software_install,email,M.D.,27.8
HD-0723-02,2026-07-23,access_grant,portal,M.D.,33.0
HD-0723-03,2026-07-23,password_reset,portal,M.D.,25.0
HD-0723-04,2026-07-23,software_install,email,B.O.,27.8
HD-0723-05,2026-07-23,software_install,email,M.D.,26.7
HD-0723-06,2026-07-23,software_install,portal,L.F.,25.0
HD-0724-01,2026-07-24,software_install,portal,M.D.,19.9
HD-0724-02,2026-07-24,access_grant,portal,M.D.,29.5
HD-0724-03,2026-07-24,password_reset,portal,L.F.,27.4
