date,section,items_audited,misshelved
2026-08-31,adult,29,0
2026-08-31,juvenile,22,4
2026-08-31,nonfiction,18,2
2026-09-01,adult,25,1
2026-09-01,juvenile,22,0
2026-09-01,nonfiction,17,2
2026-09-02,adult,26,4
2026-09-02,juvenile,24,1
2026-09-02,nonfiction,19,0
2026-09-03,adult,24,0
2026-09-03,juvenile,21,4
2026-09-03,nonfiction,16,0
2026-09-04,adult,30,1
2026-09-04,juvenile,20,1
2026-09-04,nonfiction,18,0
2026-09-05,adult,24,0
2026-09-05,juvenile,15,0
2026-09-05,nonfiction,15,1
2026-09-07,adult,30,1
2026-09-07,juvenile,24,2
2026-09-07,nonfiction,20,4
2026-09-08,adult,25,1
2026-09-08,juvenile,20,6
2026-09-08,nonfiction,17,0
2026-09-09,adult,26,0
2026-09-09,juvenile,23,2
2026-09-09,nonfiction,18,1
2026-09-10,adult,27,3
2026-09-10,juvenile,30,5
2026-09-10,nonfiction,20,1
2026-09-11,adult,26,1
2026-09-11,juvenile,23,2
2026-09-11,nonfiction,23,1
2026-09-12,adult,23,1
2026-09-12,juvenile,17,1
2026-09-12,nonfiction,16,1
2026-09-14,adult,26,1
2026-09-14,juvenile,24,1
2026-09-14,nonfiction,24,2
2026-09-15,adult,27,1
2026-09-15,juvenile,26,2
2026-09-15,nonfiction,20,1
2026-09-16,adult,25,0
2026-09-16,juvenile,21,2
2026-09-16,nonfiction,20,2
2026-09-17,adult,29,1
2026-09-17,juvenile,21,2
2026-09-17,nonfiction,16,1
2026-09-18,adult,27,1
2026-09-18,juvenile,19,2
2026-09-18,nonfiction,20,1
2026-09-19,adult,21,1
2026-09-19,juvenile,13,3
2026-09-19,nonfiction,10,1
2026-09-21,adult,28,1
2026-09-21,juvenile,21,1
2026-09-21,nonfiction,18,1
2026-09-22,adult,27,0
2026-09-22,juvenile,17,2
2026-09-22,nonfiction,17,0
2026-09-23,adult,28,0
2026-09-23,juvenile,16,3
2026-09-23,nonfiction,25,3
